wingcrd	flatwing	tarsus	head	culmen	nalospi	wt	bandstat	initials	Year	Month	Day	Location	SpeciesCode	Sex	Age
53	54	19.3	31.2	12.2	10	16.2	1	3	2002	7	30	9	1	0	2
58	59	19.5	31.4	12.6	8.4	16.2	1	3	2002	8	6	7	1	0	2
57	58	21.8	31.3	12.8	9.9	16.2	1	3	2003	7	7	7	1	5	1
57	58	20.6	31.6	12.6	10.3	16.2	1	6	2003	7	16	7	1	5	1
56.5	57.5	20.7	30.1	12	8.2	16.3	1	2	2004	7	26	7	1	0	2
57	57.5	21.4	30.5	12.8	8.4	16.3	1	7	2004	8	2	1	1	0	2
57	58	18.9	30.6	11.5	8.7	16.3	1	1	2002	8	6	7	1	0	2
53	54	20.5	31.7	12.5	9.8	16.3	1	3	2002	9	19	4	1	0	1
52.5	53.5	18.9	29.2	12	9.4	16.3	1	8	2002	7	6	7	1	5	1
56.5	57	20.1	31.6	13	9.5	16.4	2	8	2002	8	20	7	1	0	2
56.5	57.5	21.3	31.9	12.6	9.9	16.4	1	2	2002	10	3	9	1	0	1
55.5	56	20.1	30.6	12.5	8.8	16.4	1	2	2002	8	19	7	1	5	1
56	57	21	31	13.1	8.8	16.4	1	2	2002	7	7	9	1	5	1
54	55.5	20.7	31.2	13.1	10.2	16.4	1	6	2003	7	29	10	1	5	1
55	56	20.5	31.3	13.1	9.4	16.4	1	7	2004	7	26	7	1	5	1
55	57	19.9	31.4	12.3	9.7	16.4	1	1	2003	8	26	10	1	5	1
57	58	19.9	29.2	10.5	8	16.5	1	3	2002	7	30	9	1	0	2
56	57	21	30.4	11.8	8.6	16.5	1	7	2004	7	29	9	1	0	2
56.5	57.5	20.3	30.5	11.9	8.2	16.5	1	2	2002	8	9	7	1	0	2
55	55.5	21.6	30.7	12.2	8.7	16.5	1	7	2004	8	11	6	1	0	2
56.5	57.5	20.6	31	12.1	9.3	16.5	1	2	2002	8	21	7	1	0	2
54.5	55.5	20.7	31	12.3	9.4	16.5	1	0	2002	8	7	7	1	0	2
58.5	59.5	21.2	31.3	11.8	9.5	16.5	2	6	2003	8	12	10	1	0	2
55	56	20.6	31.3	12.5	8.6	16.5	1	5	2004	8	2	1	1	0	2
54.5	55.5	21	31.4	11.9	9.1	16.5	1	3	2004	8	4	7	1	0	2
56	57	20.9	31.6	12.1	8.8	16.5	1	5	2004	8	4	7	1	0	2
57	58	20.9	31.8	12.6	9.1	16.5	1	4	2003	6	20	8	1	4	1
54.5	55.5	21.8	30.5	12.1	9.5	16.5	1	3	2003	6	6	11	1	5	1
55	56.5	19.8	30.9	12.7	9.3	16.5	2	2	2002	7	7	9	1	5	1
54.5	55.5	20.6	31.3	13.1	9.5	16.5	1	3	2002	7	9	7	1	5	1
54.5	55	21.8	31.5	13	9.2	16.5	1	7	2004	6	29	9	1	5	1
54	55	21.4	31.6	12.9	9.4	16.5	1	3	2003	8	6	11	1	5	1
55	56	20.1	31.8	13.6	10.3	16.5	1	6	2003	7	30	7	1	5	1
55	56	20.7	30.3	12.8	8.9	16.6	1	2	2002	7	30	9	1	0	2
56	56.5	20.9	30.9	13.3	9.1	16.6	1	7	2004	8	10	7	1	0	2
54	54.5	20.8	30.6	12.8	9.3	16.6	1	2	2003	8	6	11	1	5	1
55	56	20	30.7	12.7	8.9	16.6	1	8	2002	7	23	9	1	5	1
54	55	20.9	30.7	13.2	9	16.6	1	9	2004	8	12	9	1	5	1
56	57	21.4	31.9	12.7	9.6	16.6	1	3	2003	8	6	11	1	5	1
56.5	57.5	20.6	32	13.4	9.7	16.6	1	2	2003	7	25	8	1	5	1
54.5	55.5	20.8	32.1	13	9.5	16.6	2	8	2002	7	25	9	1	5	1
57	58	21.3	32.1	13.8	9.2	16.6	1	2	2002	7	9	7	1	5	1
51.5	52.5	21	28.5	10.2	6.3	16.7	2	2	2002	8	21	7	1	0	2
55	56	20.8	29.5	11.4	8.1	16.7	1	2	2003	6	2	9	3	0	1
55	56	19.4	29.7	12.3	8.2	16.7	2	2	2004	7	20	2	1	0	2
55	55.5	20.8	31.7	12.7	9	16.7	1	2	2002	8	20	7	1	0	2
55	55.5	21.5	31.2	12.7	9	16.7	1	2	2002	7	9	7	1	5	1
55	56	20.3	31.6	13.4	9.1	16.7	1	0	2003	8	11	11	1	5	1
54	55	20.5	31.8	13	9.4	16.7	1	2	2002	7	17	5	1	5	1
54	55	21.1	29.3	9.9	7.9	16.8	1	3	2002	7	23	9	1	0	2
57.5	58.5	22.1	30.4	10.8	7.6	16.8	1	7	2004	7	21	7	1	0	2
57.5	58	20.4	30.6	12.4	8.3	16.8	1	9	2004	8	10	7	1	0	2
58	60	22.1	30.7	13.3	9.7	16.8	1	3	2003	8	6	11	1	0	2
54	55	20.3	30.8	12.5	9	16.8	1	2	2002	10	2	5	1	0	1
58	59.5	21.2	31	12	8.8	16.8	1	3	2003	8	12	10	1	0	2
58	59	21.8	31.1	12.2	8.5	16.8	1	2	2004	7	26	7	1	0	2
56	57	20.5	30.8	12.8	9.7	16.8	1	3	2003	8	4	8	1	5	1
55	56	21	30.4	12.1	8.4	16.9	1	2	2003	8	11	11	1	0	2
56.5	57.5	20.6	31.3	12.1	8.5	16.9	1	8	2002	7	24	7	1	0	2
54	55	21.3	31.5	12.6	8.8	16.9	2	2	2002	8	19	7	1	0	2
55	56	21.5	31.3	12.4	9.2	16.9	1	3	2002	6	27	9	1	5	1
53	54	20.8	31.7	13.1	9.9	16.9	1	6	2003	7	3	8	1	5	1
58.5	59	20.1	32	12.8	9.4	16.9	1	3	2004	6	22	7	1	5	1
56	57	20.7	30.1	12	7.6	17	1	2	2004	7	22	2	1	0	2
56.5	57.5	21.9	30.7	12	8.5	17	1	3	2004	8	11	6	1	0	2
55	56	21.3	31	11.3	8.3	17	1	8	2002	8	6	7	1	0	2
54	55	20.4	31.5	12.2	8.9	17	1	5	2004	8	2	1	1	0	2
55.5	56.5	21.1	31	12.4	8.8	17	1	8	2002	7	11	9	1	5	1
56	57	21	31.1	12.6	9.8	17	1	0	2003	7	30	7	1	5	1
54	55	20.8	31.3	12.5	9.6	17	1	3	2002	7	6	7	1	5	1
54	55	20.2	31.3	13.3	9.4	17	1	0	2003	8	12	10	1	5	1
55	56	21.4	31.6	12.6	9.2	17	1	5	2004	6	28	7	1	5	1
54	54.5	21.8	31.7	13.1	9.7	17	1	5	2004	6	29	9	1	5	1
56	57	21.9	32.1	13.1	9.5	17	1	0	2004	7	12	7	1	5	1
54	55	21	30.1	11.1	8	17.1	1	3	2002	7	30	9	1	0	2
57	58	20.2	30.1	11.4	8.2	17.1	1	6	2003	7	24	8	1	0	2
54	55	21.4	30.4	12.2	8.4	17.1	1	3	2004	8	11	6	1	0	2
54.5	56	20.9	31.1	12.9	9.5	17.1	1	8	2002	8	19	7	1	0	2
57	58	20.4	31.2	11.9	9.5	17.1	1	1	2003	8	13	7	1	0	2
57.5	58.5	20.8	30.1	12.7	9.3	17.1	1	3	2002	7	7	9	1	5	1
55	56.5	20.9	31.5	13.1	9.3	17.1	1	2	2003	6	27	8	1	5	1
54	55	19.5	31.6	13.2	9.4	17.1	1	2	2003	7	8	11	1	5	1
56.5	57.5	21.9	31.6	13.4	9.6	17.1	1	8	2002	8	7	7	1	5	1
57	58	20.5	29.7	11.8	7.8	17.2	1	3	2002	8	21	7	1	0	2
54	55	20.4	30	10.5	7.5	17.2	1	4	2003	7	23	11	1	0	2
56	57	21	30.1	11.6	8.6	17.2	1	3	2004	8	11	6	1	0	2
55	56	21.2	30.2	11.4	7.7	17.2	1	2	2002	9	6	7	1	0	2
57	57.5	21.2	30.4	12.4	8.8	17.2	1	6	2003	8	5	7	1	0	2
56	57	20.5	30.5	11.9	8.4	17.2	1	2	2002	9	12	11	1	0	2
55.5	56.5	20.9	30.6	11.8	8.2	17.2	1	2	2002	9	3	5	1	0	2
56.5	57.5	21.2	30.7	11.7	8.1	17.2	1	3	2003	8	4	8	1	0	2
56.5	57.5	21.8	31.1	12.6	9.1	17.2	1	3	2004	8	11	6	1	0	2
55	57	22.9	31.2	12.7	9	17.2	1	1	2003	8	13	7	1	0	2
56	57	21	31.4	13.1	9.9	17.2	1	3	2004	8	3	2	1	0	2
60	61.5	20.9	31.7	12.7	9.7	17.2	1	6	2003	8	12	10	1	0	2
54	54.5	19.4	30.7	12.2	9.5	17.2	1	6	2003	6	29	10	1	5	1
55	56	20.5	30.9	12.5	9.2	17.2	1	3	2004	7	21	7	1	5	1
56	57	21.3	30.9	13	9.6	17.2	1	3	2003	6	9	8	1	5	1
53	54	21	31.4	12.4	9.6	17.2	1	3	2002	6	4	9	1	5	1
56.5	57.5	21.1	31.5	13.2	9.4	17.2	1	2	2004	6	30	3	1	5	1
57	58	20.4	31.9	13.1	9.4	17.2	1	4	2003	6	20	8	1	5	1
53	54	20.5	32.1	12.2	9.1	17.2	1	8	2002	6	10	5	1	5	1
55.5	56.5	20.8	32.7	13.5	9.6	17.2	1	2	2002	7	9	7	1	5	1
51	52	20.4	29.5	8.9	7.8	17.3	1	3	2002	7	24	7	1	0	2
55	57	20.8	31.3	13.6	9.2	17.3	1	1	2002	10	15	11	1	0	1
58	59	20.3	31.5	13	9.2	17.3	1	2	2002	9	3	5	1	5	1
55	56	20.9	31.6	13.7	9.5	17.3	1	7	2004	6	29	9	1	5	1
55	56	19.7	29	11.3	7.7	17.4	1	8	2003	8	28	7	1	0	2
54.5	55	20.9	30.4	12.3	8.3	17.4	1	7	2004	8	11	6	1	0	2
57	59	20.9	31.1	12.1	9.6	17.4	1	1	2002	9	30	7	1	0	1
55	56	21.8	31.4	12.7	9.1	17.4	1	2	2002	9	12	11	1	0	1
60	60.5	21.2	31.8	13.2	9.6	17.4	1	1	2002	10	9	7	3	0	1
56	57	21.9	31.2	13.1	9.3	17.4	1	3	2002	8	21	7	1	5	1
56.5	57	21.1	31.4	12.2	10.1	17.4	1	2	2003	6	30	9	1	5	1
53	54	20.5	31.5	13	9.9	17.4	1	8	2002	8	21	7	1	5	1
55	56	20.7	31.7	12.4	9.5	17.4	1	3	2002	7	11	9	1	5	1
59	60	21.3	30	10.1	7.5	17.5	1	2	2002	9	3	5	1	0	2
56	57	21	30	11.8	8.2	17.5	1	5	2004	7	22	2	1	0	2
62	62.5	20.7	30.4	11.3	8.1	17.5	1	2	2003	7	30	7	1	0	2
56	57	21.6	30.9	12	8.6	17.5	1	3	2003	8	8	8	1	0	2
54.5	55.5	20.2	30.9	12.4	9.3	17.5	1	3	2004	8	6	2	1	0	2
55	56	21.2	31	12.1	8.6	17.5	1	5	2004	8	2	1	1	0	2
59.5	60.5	21.3	31.4	12.7	9.4	17.5	1	6	2003	8	12	10	1	0	2
58	59	21.6	31.6	12.8	8.7	17.5	1	2	2004	8	10	7	1	0	2
58	59	21.3	31.8	12.9	8.8	17.5	1	2	2002	8	20	7	1	0	2
56.5	58	20.4	31.4	13.1	9	17.5	1	4	2003	6	6	11	1	4	1
57.5	58.5	20.8	31.7	12.2	9.5	17.5	1	6	2003	6	10	8	1	4	1
54.5	55	19.5	30.6	13	9.1	17.5	1	5	2004	8	12	9	1	5	1
54	55	19.5	30.8	12.1	9.3	17.5	1	6	2003	6	6	11	1	5	1
54	55	20.1	30.9	12.2	8.6	17.5	1	2	2002	7	19	5	1	5	1
54.5	55.5	20.8	31.1	12	8.4	17.5	1	2	2002	6	25	9	1	5	1
54.5	55.5	21	31.1	12.8	9.3	17.5	1	7	2004	6	13	9	1	5	1
55	56	21.2	31.2	13	9.6	17.5	1	5	2004	7	20	2	1	5	1
56	57	20	31.2	13.1	8.9	17.5	1	2	2003	7	25	8	1	5	1
57	58	21.4	31.5	14	9.4	17.5	1	1	2003	7	24	8	1	5	1
54	55	20.9	31.6	12.7	9.8	17.5	1	3	2002	7	24	7	1	5	1
56	57	20.3	31.6	13	8.9	17.5	1	8	2002	6	25	9	1	5	1
55	56	21.4	31.8	12.9	9.3	17.5	1	7	2004	6	19	1	1	5	1
54	55	21.7	31.9	12.8	9.5	17.5	1	3	2002	6	24	7	1	5	1
55	56	20.9	32.1	13.1	9.5	17.5	1	4	2003	7	18	8	1	5	1
55	57	21.2	32.4	13.8	9.7	17.5	1	2	2002	7	7	9	1	5	1
57	58	20.7	32.5	13.3	9.9	17.5	1	2	2002	7	7	9	1	5	1
56.5	58	21	30.8	12.3	9.2	17.6	1	3	2002	10	4	4	1	0	2
55	56	20.4	30.8	12.5	8.4	17.6	1	2	2003	8	1	8	1	0	2
56	58	20.6	30.9	11.3	8.9	17.6	1	1	2003	8	13	7	1	0	2
56	58	20.8	31	12	9.2	17.6	1	1	2002	9	6	7	1	0	2
59	60	21.7	31.1	11.8	8.1	17.6	1	2	2004	7	22	2	1	0	2
54	55	20.4	30.6	12.9	9.1	17.6	1	2	2003	8	1	8	1	5	1
56	56.5	20.8	30.8	12.2	9.2	17.6	1	3	2004	6	1	3	1	5	1
54	55	20.2	31.1	12.8	9.9	17.6	1	6	2003	7	30	7	1	5	1
54	54.5	19.9	31.3	12.8	9.3	17.6	1	2	2004	8	12	9	1	5	1
56	57	20.7	31.8	12.7	9.1	17.6	1	2	2002	7	9	7	1	5	1
58	59.5	20.7	31.8	13.3	9.5	17.6	1	2	2002	7	9	7	1	5	1
54	55.5	21.7	32	13.1	9.3	17.6	1	9	2004	7	26	7	1	5	1
55	56	21.4	32	13.2	9.5	17.6	1	2	2002	9	3	5	1	5	1
55	56	20.8	30.3	13	9.2	17.7	1	2	2003	8	28	7	1	0	2
53.5	54.5	20.2	30.9	12.8	10.1	17.7	1	6	2003	6	25	8	1	5	1
54.5	56	20.1	31.2	12.3	9.7	17.7	1	6	2003	7	25	8	1	5	1
54.5	55.5	20.1	31.2	12.7	9.5	17.7	1	6	2003	6	25	8	1	5	1
55	56	20.3	31.7	13.2	9.7	17.7	1	2	2003	7	15	10	1	5	1
56.5	57.5	21.2	32.2	13.1	10.2	17.7	1	3	2002	7	1	5	1	5	1
56	57	21.3	30.4	12.9	9.2	17.8	1	7	2004	8	11	6	1	0	2
55	56	20.8	30.7	11.8	8.2	17.8	1	2	2004	7	29	9	1	0	2
58	59.5	21	30.7	11.9	8.1	17.8	1	2	2002	7	26	7	1	0	2
58	60	22.4	30.7	12.6	8.8	17.8	1	1	2002	10	9	7	3	0	1
56.5	57	20.6	30.9	12.1	8.4	17.8	1	2	2002	9	3	5	1	0	2
56	57	21.6	31.3	11.8	8.6	17.8	1	3	2004	8	4	7	1	0	2
55	56	20.9	32	12.9	9.4	17.8	1	3	2002	10	1	11	1	0	2
53.5	54.5	20.8	31.3	13	8.9	17.8	1	8	2002	7	24	7	1	5	1
56.5	57	19.1	31.5	13.1	8.9	17.8	1	2	2003	6	6	11	1	5	1
56.5	57.5	21.8	31.5	13.2	9.2	17.8	1	0	2002	8	20	7	1	5	1
56	57	21.9	31.6	13.7	9.2	17.8	1	2	2002	9	5	9	1	5	1
54	56	21.2	31.8	13	9.8	17.8	1	1	2003	6	27	8	1	5	1
55	56	21.4	32.1	12.8	9.9	17.8	1	3	2003	7	1	7	1	5	1
56.5	58	19.4	29.8	13	9.1	17.9	1	1	2002	9	30	7	1	0	2
58	58.5	22	30.4	11.1	7.8	17.9	1	2	2002	9	6	7	1	0	2
55	56	20.1	30.8	12.5	9.4	17.9	1	3	2002	8	21	7	1	0	2
58	59	20.2	31	11.7	7.9	17.9	1	3	2002	9	3	5	1	0	2
56.5	57.5	20.4	31.2	11.2	8.4	17.9	1	9	2004	7	26	7	1	0	2
57	58	22.1	31.2	12	8.6	17.9	1	2	2002	8	9	7	1	0	2
53	54	19.8	31.6	12.6	9.5	17.9	1	1	2002	9	30	7	1	0	1
55	56	21.3	31.9	13.2	10	17.9	1	3	2002	9	19	4	1	0	2
55	57	20.7	32.2	13.6	9.6	17.9	2	1	2002	9	30	7	1	0	1
59	60.5	19.9	30.4	12.3	8.4	17.9	1	2	2002	6	11	5	1	4	1
56	57	20.2	31.4	12.8	8.8	17.9	1	4	2003	6	20	8	1	4	1
56.5	58	20	30	12.8	8.6	17.9	1	8	2002	6	26	7	1	5	1
55	55.5	20.1	30.9	12.5	8.9	17.9	1	2	2003	7	22	7	1	5	1
55	56	20.3	31.4	12.5	9.2	17.9	1	8	2002	6	8	9	1	5	1
53.5	54	20.5	31.6	12.8	9.2	17.9	1	4	2003	8	4	8	1	5	1
54	55	19.7	31.6	13.3	9.8	17.9	1	6	2003	7	26	11	1	5	1
55.5	56.5	20.9	29.8	11.9	7.5	18	2	3	2004	7	16	3	1	0	2
58.5	59.5	21.5	30.4	12.2	8.6	18	1	3	2004	8	2	1	1	0	2
58	59	21.4	31	12	8.3	18	1	2	2003	8	13	7	1	0	2
54	55	21.2	31.3	11.6	9.1	18	1	5	2004	8	9	5	1	0	2
55	56	21.9	31.3	11.8	8.5	18	1	5	2004	8	9	5	1	0	2
58	59.5	22.1	31.3	12.6	8.9	18	2	8	2002	8	20	7	1	0	2
58	58.5	21.4	31.3	12.6	9	18	1	5	2004	7	29	9	1	0	2
57	58	21.2	31.4	11.9	8.9	18	1	5	2004	8	11	6	1	0	2
57	58	21.2	31.6	12.5	10.6	18	1	3	2003	7	16	7	2	0	2
57	58	21.1	31.6	12.9	10.2	18	1	3	2003	7	8	11	1	4	1
55.5	56	21.6	31.9	12.5	10.1	18	1	3	2003	7	17	9	1	4	1
57	58	21.6	32.1	13	9.5	18	1	8	2002	7	25	9	1	4	1
56	57	21	31	13.2	9.1	18	1	2	2003	7	1	7	1	5	1
55	56	19.5	31.3	12.9	9.2	18	1	2	2003	7	29	10	1	5	1
54.5	55	20.2	31.3	13.2	8.9	18	1	6	2003	7	1	7	1	5	1
55	56	21.3	31.6	13.7	10.5	18	1	6	2003	7	16	7	1	5	1
56.5	57.5	20.5	31.7	12.9	9.2	18	1	8	2002	6	25	9	1	5	1
56.5	57.5	20.6	31.7	13.4	9.8	18	1	6	2003	7	26	11	1	5	1
55	56	21.2	31.7	13.5	9.8	18	1	5	2004	8	3	2	1	5	1
54	55	20.9	31.9	12.9	9.8	18	1	5	2004	7	6	2	1	5	1
56	56.5	20.7	32.1	12.7	10	18	1	6	2003	7	2	8	1	5	1
54.5	55	20.7	29.1	10.8	7.4	18.1	2	3	2002	7	26	7	1	0	2
60	61	21.6	30.1	11	7.5	18.1	1	2	2003	8	26	10	1	0	2
58	59.5	20.7	30.8	11.3	8.2	18.1	1	2	2003	8	6	11	1	0	2
58	59.5	20.4	30.8	11.5	8.6	18.1	1	1	2002	9	30	7	1	0	2
58	59	20.6	30.8	11.9	8.6	18.1	1	3	2002	9	12	11	1	0	2
58	58.5	22.9	30.8	12.3	9	18.1	1	7	2004	8	11	6	1	0	2
55	56	21.1	31	12.1	9.1	18.1	1	3	2002	10	15	11	1	0	2
57	59	21	31.2	11.8	8.7	18.1	1	2	2004	7	26	7	1	0	2
57.5	59	21.7	31.2	12	8.2	18.1	1	2	2004	8	2	1	1	0	2
59	60	21.4	31.2	12.1	8.5	18.1	2	2	2004	8	4	7	1	0	2
59	60	20.7	31.2	12.4	9.2	18.1	1	2	2002	9	5	9	1	0	1
58	59	21.5	32.5	13.9	9.6	18.1	1	8	2003	8	28	7	1	0	2
54.5	55	20.1	30.7	12.6	8.9	18.1	1	2	2002	7	24	7	1	5	1
56	57	21.2	31.2	13.1	10.2	18.1	1	6	2003	7	30	7	1	5	1
56	57	21.1	31.3	13.4	9.1	18.1	1	4	2003	6	9	8	1	5	1
55	56	20.3	31.5	13.1	9.3	18.1	1	2	2003	7	25	8	1	5	1
55	56	20.9	31.6	12.6	9.2	18.1	1	2	2002	7	1	5	1	5	1
54	55	21.4	31.6	13.2	9.2	18.1	1	2	2002	6	25	9	1	5	1
56.5	58	20.1	31.7	13.3	10.4	18.1	1	6	2003	7	9	8	1	5	1
56	58	20.7	29.7	10.9	7.8	18.2	1	1	2002	9	6	7	1	0	2
59.5	60	21.9	30.8	13.6	9.4	18.2	1	9	2004	8	10	7	1	0	2
58	58.5	21.6	31.2	11.3	7.9	18.2	1	6	2003	7	26	11	1	0	2
57	58	20.7	31.2	12.7	8.9	18.2	1	2	2002	10	3	9	1	0	2
55.5	56.5	20.4	31.2	13.8	9	18.2	1	2	2002	9	5	9	1	0	1
58.5	59.5	21.9	31.6	12.9	9	18.2	1	7	2004	8	11	6	1	0	2
55	56	20.6	31.6	13.3	10.2	18.2	1	1	2002	10	15	11	1	0	1
57	57.5	21.8	31.7	12	8.8	18.2	1	0	2002	8	19	7	1	0	2
58	59	21.5	31.8	12.7	8.4	18.2	1	7	2004	8	11	6	1	0	2
60	61	22.9	32.3	12.9	10.2	18.2	1	3	2003	8	4	8	2	0	2
59	60.5	22.3	32.4	12.4	9.9	18.2	1	3	2004	7	29	9	2	0	2
59	60	21.4	32.4	13.8	9.9	18.2	1	8	2003	8	28	7	1	0	2
57	58.5	20.4	30.1	12	9.8	18.2	1	6	2003	6	11	11	1	4	1
55.5	56.5	21.1	30.8	12.8	10	18.2	1	3	2003	7	25	8	1	4	1
55	56	20.8	31.6	12.8	9.2	18.2	1	3	2003	7	16	7	1	4	1
58	58.5	20.3	31.8	12.6	10.1	18.2	1	6	2003	7	19	8	1	4	1
57	58	21.1	32.3	13.8	9.6	18.2	1	8	2002	8	19	7	1	4	1
52.5	54	21.8	31.4	13	9.5	18.2	1	3	2003	7	25	8	1	5	1
54	55	20.9	31.4	13.2	9.1	18.2	1	2	2003	7	29	10	1	5	1
54	54.5	21.1	31.5	12.2	8.9	18.2	1	3	2004	7	7	7	1	5	1
55	56	21.3	31.5	13.1	9.3	18.2	1	4	2003	6	11	11	1	5	1
55	56	20.6	31.6	12.7	10	18.2	1	6	2003	6	29	10	1	5	1
56.5	58	21.1	31.6	13.5	9.5	18.2	1	2	2004	6	29	9	1	5	1
54.5	55.5	21.8	31.7	12.6	9.1	18.2	1	3	2003	6	21	11	1	5	1
55	56	21.3	31.8	13.2	9.3	18.2	1	2	2004	6	30	3	1	5	1
57	58	20.1	32	12	9.3	18.2	1	2	2002	8	19	7	1	5	1
55	56.5	19.6	31.2	13.4	9.7	18.3	1	1	2002	10	21	7	1	0	1
55.5	56.5	21.6	31.1	12.3	9	18.3	1	2	2002	7	26	7	1	5	1
55	56	21.5	32.5	13	10	18.3	1	3	2003	6	10	8	1	5	1
59.5	60	21.3	30.7	12.4	8.5	18.4	1	2	2003	8	11	11	1	0	2
57	58	21	31	10.3	7.3	18.4	1	6	2003	8	12	10	1	0	2
59	60	20.8	31.1	11.1	8	18.4	1	2	2004	8	11	6	1	0	2
57	59	22.1	31.3	12.6	9	18.4	1	1	2002	8	6	7	1	0	2
56	58	19.4	31.3	13	9.7	18.4	1	1	2002	9	19	4	1	0	2
58.5	59.5	22	31.4	12.1	9	18.4	1	8	2002	7	14	9	1	0	1
56	57	21.6	31.4	12.9	9.4	18.4	1	8	2002	8	21	7	1	0	2
55	57	20.5	31.8	12.4	9.9	18.4	1	1	2002	9	12	11	1	0	1
54	55	22.1	32.2	13.4	10.6	18.4	1	3	2002	9	20	5	1	0	1
54	55	21.2	31.4	12.9	10.1	18.4	1	3	2003	7	3	8	1	5	1
55	56	20.9	31.5	12.1	8.9	18.4	1	2	2002	8	20	7	1	5	1
54.5	55.5	20.1	31.5	13.3	9.1	18.4	1	2	2003	7	29	10	1	5	1
54.5	55.5	20.5	31.6	13	9.6	18.4	1	8	2002	7	7	9	1	5	1
58	59	19	31.6	13.6	9.7	18.4	1	1	2002	6	14	9	1	5	1
55.5	56.5	20.2	31.7	12.9	9.3	18.4	2	2	2002	6	24	7	1	5	1
59	60	20.7	30.6	12.2	8.4	18.5	1	6	2002	7	22	7	1	0	2
58	59	20.9	30.6	12.4	8.7	18.5	1	6	2003	8	5	7	1	0	2
58.5	59.5	21.8	31	13	9.1	18.5	1	7	2004	8	11	6	1	0	2
57	58	20.9	31.4	11.4	8.3	18.5	1	3	2003	7	24	8	1	0	2
56.5	57.5	22	31.5	12.3	8.9	18.5	1	8	2002	8	6	7	1	0	2
58	58.5	22.5	31.5	14.3	10.2	18.5	1	9	2004	8	12	9	2	0	2
59	60	21.5	31.8	12.2	9.2	18.5	1	3	2002	8	7	7	1	0	2
58.5	59.5	21.7	32	12.4	9.5	18.5	1	3	2004	8	11	6	1	0	2
56	56.5	21.3	30.5	13	9.1	18.5	1	5	2004	6	22	7	1	4	1
